
2024/07/24 (11:09:02) | ===> btop++ v.1.3.2
2024/07/24 (11:09:02) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/26 (11:24:24) | ===> btop++ v.1.3.2
2024/07/26 (11:24:24) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/29 (11:25:38) | ===> btop++ v.1.3.2
2024/07/29 (11:25:38) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/30 (14:20:19) | ===> btop++ v.1.3.2
2024/07/30 (14:20:19) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...
2024/07/30 (14:25:46) | ERROR: Stall in Runner thread, restarting!

2024/07/30 (15:00:54) | ===> btop++ v.1.3.2
2024/07/30 (15:00:54) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/31 (14:50:43) | ===> btop++ v.1.3.2
2024/07/31 (14:50:43) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/02 (21:29:21) | ===> btop++ v.1.3.2
2024/08/02 (21:29:21) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/02 (23:42:49) | ===> btop++ v.1.3.2
2024/08/02 (23:42:49) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/02 (23:51:44) | ===> btop++ v.1.3.2
2024/08/02 (23:51:44) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/04 (10:31:09) | ===> btop++ v.1.3.2
2024/08/04 (10:31:09) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/04 (15:33:18) | ===> btop++ v.1.3.2
2024/08/04 (15:33:18) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/05 (02:33:52) | ===> btop++ v.1.3.2
2024/08/05 (02:33:52) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/06 (15:52:42) | ===> btop++ v.1.3.2
2024/08/06 (15:52:42) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/06 (22:12:58) | ===> btop++ v.1.3.2
2024/08/06 (22:12:58) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/08 (14:44:56) | ===> btop++ v.1.3.2
2024/08/08 (14:44:56) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/08 (22:19:37) | ===> btop++ v.1.3.2
2024/08/08 (22:19:37) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/09 (06:34:36) | ===> btop++ v.1.3.2
2024/08/09 (06:34:36) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/09 (23:54:44) | ===> btop++ v.1.3.2
2024/08/09 (23:54:44) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/10 (22:18:43) | ===> btop++ v.1.3.2
2024/08/10 (22:18:43) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/10 (22:24:58) | ===> btop++ v.1.3.2
2024/08/10 (22:24:58) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/10 (22:37:15) | ===> btop++ v.1.3.2
2024/08/10 (22:37:15) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/11 (01:02:15) | ===> btop++ v.1.3.2
2024/08/11 (01:02:15) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/11 (01:07:22) | ===> btop++ v.1.3.2
2024/08/11 (01:07:22) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/13 (20:14:12) | ===> btop++ v.1.3.2
2024/08/13 (20:14:12) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/14 (18:12:23) | ===> btop++ v.1.3.2
2024/08/14 (18:12:23) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/16 (01:47:38) | ===> btop++ v.1.3.2
2024/08/16 (01:47:38) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/16 (01:50:46) | ===> btop++ v.1.3.2
2024/08/16 (01:50:46) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/16 (12:14:05) | ===> btop++ v.1.3.2
2024/08/16 (12:14:05) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/17 (13:14:55) | ===> btop++ v.1.3.2
2024/08/17 (13:14:55) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/18 (14:06:24) | ===> btop++ v.1.3.2
2024/08/18 (14:06:24) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/20 (12:28:45) | ===> btop++ v.1.3.2
2024/08/20 (12:28:45) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/20 (12:48:54) | ===> btop++ v.1.3.2
2024/08/20 (12:48:54) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/25 (00:03:58) | ===> btop++ v.1.3.2
2024/08/25 (00:03:58) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...
2024/08/25 (00:04:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/08/25 (00:04:02) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/08/25 (00:04:06) | ===> btop++ v.1.3.2
2024/08/25 (00:04:06) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/25 (08:50:36) | ===> btop++ v.1.3.2
2024/08/25 (08:50:36) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

